# index, name, _pos
0,Aemon,"array([-6.26710367, -3.98543356])"
1,Grenn,"array([-6.16876976, -4.25622392])"
2,Samwell,"array([-6.20040749, -4.16643914])"
3,Aerys,"array([-6.22351778, -3.5141172 ])"
4,Jaime,"array([-6.08939813, -3.6398448 ])"
5,Robert,"array([-6.21967843, -3.60883715])"
6,Tyrion,"array([-5.98073015, -3.52106412])"
7,Tywin,"array([-5.94482859, -3.63516638])"
8,Alliser,"array([-6.37945178, -4.08247342])"
9,Mance,"array([-6.38327169, -4.17900679])"
10,Amory,"array([-5.51877026, -3.18305583])"
11,Oberyn,"array([-5.77443075, -3.35821254])"
12,Arya,"array([-6.10923894, -3.77265218])"
13,Anguy,"array([-6.45187962, -3.81262982])"
14,Beric,"array([-6.29822476, -3.77630203])"
15,Bran,"array([-5.95775776, -4.07499973])"
16,Brynden,"array([-5.81308586, -3.92036819])"
17,Cersei,"array([-6.03713159, -3.57029692])"
18,Gendry,"array([-6.3907404 , -3.71849946])"
19,Gregor,"array([-6.05130732, -3.47965097])"
20,Joffrey,"array([-5.95051171, -3.58176918])"
21,Jon,"array([-6.22827415, -4.08154944])"
22,Rickon,"array([-6.02382194, -3.94998485])"
23,Roose,"array([-5.91424237, -3.98041596])"
24,Sandor,"array([-6.16113915, -3.65683415])"
25,Thoros,"array([-6.33246358, -3.65223835])"
26,Balon,"array([-6.01419659, -3.74780572])"
27,Loras,"array([-5.84603868, -3.65710359])"
28,Belwas,"array([-6.42637336, -3.05525192])"
29,Barristan,"array([-6.35689143, -3.329705  ])"
30,Illyrio,"array([-6.35979514, -2.79294194])"
31,Hodor,"array([-5.87708099, -4.19956661])"
32,Jojen,"array([-5.97084038, -4.32422625])"
33,Luwin,"array([-5.72734922, -4.32304765])"
34,Meera,"array([-6.03645375, -4.23762251])"
35,Nan,"array([-5.82483483, -4.39284692])"
36,Theon,"array([-6.05146391, -4.09841466])"
37,Brienne,"array([-5.94628219, -3.80063372])"
38,Bronn,"array([-5.91362479, -3.3035302 ])"
39,Podrick,"array([-5.79345836, -3.46450183])"
40,Lothar,"array([-5.64126055, -3.97049938])"
41,Walder,"array([-5.68105561, -3.83144025])"
42,Catelyn,"array([-5.85473325, -3.80976191])"
43,Edmure,"array([-5.74846901, -3.85377202])"
44,Hoster,"array([-5.55794224, -3.79022869])"
45,Jeyne,"array([-5.73732765, -4.02698833])"
46,Lysa,"array([-5.74021808, -3.63637851])"
47,Petyr,"array([-5.77548155, -3.73247482])"
48,Robb,"array([-5.91181704, -3.89014827])"
49,Roslin,"array([-5.54819915, -3.91400548])"
50,Sansa,"array([-5.90951849, -3.70367025])"
51,Stannis,"array([-6.17530361, -3.82426666])"
52,Elia,"array([-6.21946576, -3.40530951])"
53,Ilyn,"array([-6.13079023, -3.42882448])"
54,Meryn,"array([-6.14040906, -3.52199585])"
55,Pycelle,"array([-6.08214298, -3.34260132])"
56,Shae,"array([-5.99071939, -3.33683497])"
57,Varys,"array([-5.98963321, -3.41684413])"
58,Craster,"array([-6.34509705, -4.40116237])"
59,Karl,"array([-6.44022635, -4.65476928])"
60,Daario,"array([-6.74844724, -3.23600731])"
61,Drogo,"array([-6.70892784, -3.12453612])"
62,Irri,"array([-6.83048224, -3.14004036])"
63,Daenerys,"array([-6.54668285, -3.14668674])"
64,Aegon,"array([-6.64066607, -2.9662575 ])"
65,Jorah,"array([-6.57395533, -3.23281428])"
66,Kraznys,"array([-6.49449188, -2.89599725])"
67,Missandei,"array([-6.82852337, -3.02037679])"
68,Rakharo,"array([-6.61885653, -2.83342791])"
69,Rhaegar,"array([-6.43940243, -3.33379508])"
70,Viserys,"array([-6.27863448, -3.23092585])"
71,Worm,"array([-6.75467614, -2.90299398])"
72,Davos,"array([-6.64458205, -3.91184207])"
73,Cressen,"array([-6.87868136, -3.81183284])"
74,Salladhor,"array([-6.85668995, -4.07456422])"
75,Eddard,"array([-6.0746288 , -3.84422722])"
76,Eddison,"array([-6.13484622, -4.36364572])"
77,Gilly,"array([-6.27499945, -4.33140589])"
78,Qyburn,"array([-6.46619127, -3.58863953])"
79,Renly,"array([-6.02546803, -3.65710134])"
80,Tommen,"array([-5.7897163, -3.5708132])"
81,Janos,"array([-6.18097585, -3.97531415])"
82,Bowen,"array([-6.28656688, -4.21664671])"
83,Kevan,"array([-5.85299947, -3.38256211])"
84,Margaery,"array([-5.85833318, -3.53740894])"
85,Myrcella,"array([-5.70705594, -3.52937573])"
86,Dalla,"array([-6.49347921, -4.05286286])"
87,Melisandre,"array([-6.41066495, -3.97536426])"
88,Orell,"array([-6.20921756, -4.46861072])"
89,Qhorin,"array([-6.38794462, -4.28259652])"
90,Rattleshirt,"array([-6.46693731, -4.35450329])"
91,Styr,"array([-6.55366067, -4.16706614])"
92,Val,"array([-6.29602723, -3.90767604])"
93,Ygritte,"array([-6.50983179, -4.2644728 ])"
94,Jon Arryn,"array([-5.91114234, -3.45283366])"
95,Lancel,"array([-5.69578383, -3.08523313])"
96,Olenna,"array([-5.62628898, -3.68919275])"
97,Marillion,"array([-5.53171072, -3.64706139])"
98,Robert Arryn,"array([-5.5694913 , -3.55356543])"
99,Ellaria,"array([-5.75889552, -3.22754962])"
100,Mace,"array([-5.68537767, -3.4130662 ])"
101,Rickard,"array([-5.73429861, -4.12919849])"
102,Ramsay,"array([-5.59719193, -4.11485601])"
103,Chataya,"array([-6.04085586, -3.17936749])"
104,Shireen,"array([-6.92097011, -3.94927855])"
105,Doran,"array([-5.90526798, -3.14404074])"
106,Walton,"array([-6.39053423, -3.49553726])"
